Levier,Levier_court,Chantier associé,Leviers territoriaux,Com sur le levier territorial,Objectif du levier,Commentaires,Sources de l'objectif,Δ GES 2030,Δ GES 2040,Δ GES 2050
Electrification des transports en commun,Electrification TC,Se déplacer / Verdir les utilitaires et poids lourds,false,,"Respectivement 33 % d'autobus électriques dans le parc roulant en 2030, 86 % en 2040 et 99 % en 2050
Respectivement 5 % d'autocars électriques dans le parc roulant en 2030, 38 % en 2040 et 78 % en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Réduction de l'utilisation des poids lourds les plus polluants,PL polluants,Se déplacer / Verdir les utilitaires et poids lourds,true,"réintégré sous le levier 'efficacité et sobriété logistique""",,'A préciser courant 2026 dans le cadre des travaux sur le plan PREPA ,,,,
Incorporation de carburants routiers durables,Carburants durables,Se déplacer / Verdir les utilitaires et poids lourds,false,,"Passer de 10 % de carburants durables en 2023 à 13 % en 2030, 30 % en 2040 et 100 % en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Maîtrise de la demande de fret international,Sobr. fret maritime,Se déplacer / Verdir le secteur maritime et fluvial,false,,"Augmentation du trafic maritime limitée à 1,5 % par an entre 2023 et 2035 puis stabilisation",,3e stratégie nationale bas-carbone (provisoire),,,
"Amélioration de l'efficacité environnementale des navires (énergie, pollution)",Efficacité navires,Se déplacer / Verdir le secteur maritime et fluvial,false,,"Réduction de 20 % de la consommation par t.km (technologies, vitesse) entre 2023 et 2030, de 24 % à horizon 2040 et de 27 % à horizon 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Electrification des quais et des navires,Electrification à quai,Se déplacer / Verdir le secteur maritime et fluvial,false,,,'A préciser courant 2026 dans le cadre des travaux sur le plan PREPA ,,,,
"Evolution des carburants maritimes (intensité carbone, polluants)",Carburants durables,Se déplacer / Verdir le secteur maritime et fluvial,false,,5 % de e-fuel et 11 % de biocarburant dans les soutes en 2030 et respectivement 74 % et 26 % en 2050,,3e stratégie nationale bas-carbone (provisoire),,,
Sobriété énergétique du résidentiel,Sobriété résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,true,réintégré sous un seul levier : rénovation (résidentiel) ,Baisse des consommations de 7 % entre 2020 et 2030 et 10 % entre 2020 et 2050 liée aux efforts de sobriété des ménages,"SNBC
  3
    baisse des consommations de 7 % entre 2020 et 2030 et 10 % entre 2020 et
  2050 liée aux efforts de sobriété des ménages",3e stratégie nationale bas-carbone (provisoire),,,
Sortie des chaudières au fioul (résidentiel),Fioul résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,true,réintégré sous un seul levier : rénovation (résidentiel) ,Diminution de 60 % du parc de chaudières fioul entre 2023 et 2030 (environ 250 000 foyers par an en moyenne) puis disparition des chaudières fioul,"SNBC 3 
    remplacement par un système de chauffage décarboné de 60 % des chaudières
  au fioul d’ici 2030, soit environ 250 000 foyers par an. Un peu plus d’un
  million de foyers (1,3 M) sont encore chauffés au fioul en 2030 et presque
  plus aucun foyer n’est chauffé au fioul en 2035. 
    ",3e stratégie nationale bas-carbone (provisoire),,,
Réduction de la part de chaudières au gaz (résidentiel),Gaz résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,true,réintégré sous un seul levier : rénovation (résidentiel) ,"Diminution de 20 % du parc de chaudières gaz entre 2023 et 2030 (environ 350 000 foyers par an en moyenne), et remplacement d’une majorité des chaudières à gaz d’ici 2050 par des solutions décarbonées","SNBC 
    Remplacement par un système de chauffage décarboné de 20 % des chaudières
  au gaz de 2023 d’ici 2030, qui concerne environ 350 000 foyers par an, et
  remplacer la majorité des chaudières à gaz d’ici 2050 par des solutions
  décarbonées.
    ",3e stratégie nationale bas-carbone (provisoire),,,
"Amélioration de la performance (consommation d'énergie, polluants) des systèmes de chauffage (notamment au bois)",Efficacité chaudières,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,false,,"8,8 millions de PAC dans le parc en 2030","SNBC3 
    Installer massivement des pompes à chaleur dans les logements (au moins 8,8
  millions de PAC dans le parc en 2030 - 850 000 installations par an en
  moyenne entre 2023 et 2030 ; poursuite de la dynamique jusqu’en 2050). ",3e stratégie nationale bas-carbone (provisoire),,,
Eradication des passoires thermiques,Passoires therm.,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,false,,"Diminution de 70 % du nombre de passoires énergétiques entre 2023 et 2030, avec 250 000 rénovations d’ampleur annuelles
Parc composé majoritairement de DPE A, B voire C en 2050.","SNBC 3
    Diminution de 70 % du nombre de passoires énergétiques entre 2023 et 2030,
  
    les passoires énergétiques (DPE F et G) disparaissent presque intégralement
  du parc de logements en 2040. Les logements possédant un DPE A ou B
  représentent 53 % du parc en 2050. 
    Atteindre 700 000 rénovations de logements permettant au moins deux sauts
  de classe de DPE en moyenne par an entre 2025 et 2030 (y compris parc
  social), via l’installation de systèmes de chauffage décarbonés (en
  particulier des PAC). Parmi ces rénovations, 250 000 rénovations sont des
  rénovations d’ampleur.  ",3e stratégie nationale bas-carbone (provisoire),,,
Sobriété et efficacité énergétique dans le tertiaire,Efficacité tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,true,réintégré sous un seul levier : rénovation (tertiaire) ,"Consommation d'énergie du secteur tertiaire (hors chaleur de l'environnement et data centers) de 207 TWh en 2030, 178 TWh en 2040 et 156 TWh en 2050 contre 206 TWh en 2030","SNBC 3
  - hypothèses AMS - Evolution des consommations d'énergie totales du secteur
  tertiaire (hors data centers, hors chaleur environnement) (TWh Ef/an)",3e stratégie nationale bas-carbone (provisoire),,,
Sortie des chaudières au fioul (tertiaire),Fioul tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,true,réintégré sous un seul levier : rénovation (tertiaire) ,Diminution de 85 % des surfaces chauffées au fioul entre 2020 et 2030,"SNBC 3
    Diminuer de 85 % des surfaces tertiaires chauffées au fioul entre 2020 et
  2030. ",3e stratégie nationale bas-carbone (provisoire),,,
Sortie progressive des chaudières au gaz (tertiaire),Gaz tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,true,réintégré sous un seul levier : rénovation (tertiaire) ,"Diminution de 17 % des surfaces chauffées au gaz entre 2020 et 2030 et de 85 % entre 2020 et 2050. (46 % du parc chauffé au gaz en 202, 38 % en 2030, 7 % en 2050)","SNBC 3
    remplacement par un système de chauffage décarboné de 17 % des surfaces
  chauffées au gaz d’ici 2030, conduisant à environ 38 % du parc chauffé au gaz
  en 2030 versus 46 % en 2020. Les surfaces chauffées au gaz baissent de 85 %
  entre 2020 et 2050 et ne représentent plus que 7 % du parc en 2050.050. ",3e stratégie nationale bas-carbone (provisoire),,,
Développement de l'usage de matériaux biosourcés dans la construction et rénovation,Constr. biosourcée,Se loger / Généraliser les pratiques durables de construction et rénovation,true,réintégré sous un seul levier : rénovation (tertiaire) ,"25 % de construction bois ou mixte béton-bois dans le tertiaire et les maisons individuelles en 2030, 33 % en 2040 et 40 % en 2050, et respectivement 25 %, 43 % et 61 % pour le logement collectif",,3e stratégie nationale bas-carbone (provisoire),,,
Végétalisation et accueil des espèces dans le bâti,Végétalisation bâti,Se loger / Généraliser les pratiques durables de construction et rénovation,false,,,'A  définir (potentiel biodiversité du bâti selon l'indicateur coefficient biotope surface harmonisé ?),,,,
Eradication des bouilloires thermiques,Bouilloires therm.,Se loger / Généraliser les pratiques durables de construction et rénovation,false,,,"'Amélioration de l'indicateur d'évaluation du confort d'été en cours dans le DPE dans l'Hexagone, intégration à venir d'un indicateur d'évaluation du confort thermique dans le DPE en Outre-mer",,,,
Réduction des volumes et valorisation des déchets de la construction,Déchets construc.,Consommer / Développer la consommation responsable,false,,"Augmentation du taux d’incorporation de matières premières recyclées dans les panneaux : 45 % en 2030 et 65 % en 2050, contre 40 % en 2021.",,3e stratégie nationale bas-carbone (provisoire),,,
Restauration des capacités de production nucléaire,Elec. nucléaire,Produire / Accroitre notre production d'électricité décarbonée,false,,380 TWh de production d'électricité nucléaire en 2030,"PPE3 :
  380 TWh retenus dans les modèles (ambition d'EDF 400 TWh)",Programmation pluriannuelle de l'énergie 2026-2035,,,
Développement de la production d'électricité renouvelable,Elec. renouvelable,Produire / Accroitre notre production d'électricité décarbonée,true,"levier ""électricité renouvelable""",217 TWh de production d'électricité renouvelable en 2030,"PPE3
    Objectifs 2030 en terme de puissance : 
    PV : 54 GW
    Eolien terrestre : 33 GW
    Eolien en mer : 3,6 GW
    Hydroélectricité : 26,3 GW 
    Révision à la hausse du développement de l’électricité photovoltaïque (54
  GW en 2030, contre un objectif compris entre 35 et 44 GW en 2028 dans la
  précédente PPE, ce qui correspond à une forte augmentation du rythme actuel
  de déploiement), 
    Accélération du rythme d’attribution des capacités d’éolien offshore pour
  viser 18 GW de puissance installée en 2035, en élaborant une planification
  par façade maritime, en attribuant d’ici fin 2026 jusqu’à 10 GW de puissance
  supplémentaire (en plus des procédures déjà lancées) et en poursuivant le
  développement de la filière de l’éolien flottant
    Maintien du rythme actuel à +1,5 GW/an pour l’éolien terrestre en veillant
  à une répartition plus équilibrée sur le territoire et en investissant dans
  le repowering.",Programmation pluriannuelle de l'énergie 2026-2035,,,
Développement des réseaux de chaleur urbains,Réseaux de chaleur,Produire / Développer les réseaux de chaleur et de froid renouvelables,true,,"5,8 millions de logements raccordés aux réseaux de chaleur urbains en 2035 (360 000 raccordements par an en moyenne entre 2023 et 2030). La nombre triple entre 2023 et 2050.","SNBC
  3
    Raccordement à un réseau de chaleur de 360 000 logements en moyenne par an
  d’ici 2035 permet d’atteindre 5,8 millions de logements raccordés en 2035 et
  6,7 millions en 2050",3e stratégie nationale bas-carbone (provisoire),,,
Décarbonation de la production de chaleur,Décarb. chaleur,Produire / Développer les réseaux de chaleur et de froid renouvelables,false,,"75 % de la chaleur livrée est décarbonée en 2030, 80 % en 2035 et 100 % en 2050","PPE
  3
    75 % de la chaleur livrée est décarbonée en 2030, 80 en 2035
    
    SNBC3 :
    En 2050, 100 % de la chaleur produite provient de sources de chaleur
  décarbonées.","3e stratégie nationale bas-carbone (provisoire), Programmation pluriannuelle de l'énergie 2026-2035",,,
Développement des réseaux de froid,Réseaux de froid,Produire / Développer les réseaux de chaleur et de froid renouvelables,false,,"Déploiement du froid livré par les réseaux, avec 2 TWh en 2030 (contre une production de 0,99 TWh en 2022).",,Programmation pluriannuelle de l'énergie 2026-2035,,,
Développement des puits technologiques dans l'énergie,Puits technologiques,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,false,,"Entre 8,5 et 16 Mt CO2e de capacités de captage de CO2 (principalement biogénique, via la production de chaleur à partir de biomasse) en 2050 dans l’énergie","SNBC
  3
    Entre 8,5 et 16 Mt CO2e de capacités de captage de CO2 (principalement
  biogénique, via la production de chaleur à partir de biomasse) en 2050 dans
  l’énergie, en cohérence avec l’état des lieux et les perspectives pour le
  déploiement du CCUS en France, publié en juillet 2024 (périmètre : déchets,
  bioraffinage, raffinage et production de chaleur)",3e stratégie nationale bas-carbone (provisoire),,,
Développement de la production de biogaz et orientation vers les usages prioritaires,Prod. biogaz,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,true,"levier général ""biogaz""","15% de biogaz dans la consommation nationale de gaz via le réseau en 2030 (soit 44 TWh), 100 % en 2050","PPE3
  "" Développement du biométhane, avec 44 TWh injectés à l’horizon 2030,
  correspondant à une production injectée multipliée par quatre par rapport à
  2024""",Programmation pluriannuelle de l'énergie 2026-2035,,,
Développement de la production de biocarburant et orientation vers les usages prioritaires,Prod. biocarburants,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,true,"levier général ""biogaz""",50 TWh de biocarburants produit en 2030 et 60 TWh en 2050,"PPE3
    Développement accru de l’usage des biocarburants, à hauteur environ d’entre
  50 et 55 TWh en 2030, soit une augmentation de 39% par rapport à 2019.
  ""La production nationale de biocarburant attendue en 2030 et 2035 sera
  d’environ 50 TWh. Elle
    reposera partiellement comme aujourd’hui sur des importations de matières
  premières issues de
    filières dont la durabilité est traçable et sécurisée (pour les huiles
  usagées notamment).""
    SNBC 3 :
    environ +6 TWh de production de biocarburants liquides en 2030 par rapport
  à 2020, et environ +27 TWh à horizon 2050, pour assurer l’essor de
  biocarburants avancés (résidus de cultures et cultures
  lignocellulosiques).
    poursuite des dynamiques de long terme pour atteindre environ 60 TWh de
  biocarburants et 100 TWh de biométhane en 2050.",Programmation pluriannuelle de l'énergie 2026-2035,,,
Développement de la production de biomasse solide à vocation énergétique de qualité et orientation vers les usages prioritaires,Prod. biomasse én.,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,true,"levier général ""biogaz""",120 à 134 TWh de biomasse solide produite en 2030,,Programmation pluriannuelle de l'énergie 2026-2035,,,
Réduction de l'utilisation matière des produits pétroliers,Matériaux pétroliers,Produire / Réduire la consommation de matière de l'industrie,false,,"Baisse de la consommation non énergétique de produits pétroliers à 115 TWh en 2030, 102 TWh en 2040 et 91 TWh en 2050 (contre 105 TWh en 2023)","SNBC3
  - Hypothèses AMS - Evolution des consommations d'énergie à usages
  non-énergétiques dans l'industrie (TWh)
    
    SNBC 3
    *produits moins consommateurs d’énergie et de ressources naturelles, en
  particulier fossiles. Il s’agit par exemple en matière d’emballages, de
  tendre vers une sortie des plastiques à usage unique.",3e stratégie nationale bas-carbone (provisoire),,,
Incorporation de matières recyclées,Matériaux recyclés,Produire / Réduire la consommation de matière de l'industrie,false,,"Taux d'utilisation des matériaux circulaires de 24 % en 2030 en Europe, contre de 15,4 % en 2020 et de 17,8 % en 2024 en France","SNBC 3
    *les taux d'incorporation de matières premières recyclées dans les secteurs
  de l’acier, de l’aluminium, de la pétrochimie, du verre et du papier
  augmentent en moyenne de 13 points de pourcentage par branche en 2030 et de
  19 points en 2050 (par rapport à 2021). Le taux de clinker par tonne de
  ciment produit est réduit de 5 % de 2019 à 2030 et de 9 % à horizon
  2050.
    
    Pacte industriel de l'UE (non décliné par pays)",3e stratégie nationale bas-carbone (provisoire),,,
Amélioration de l'efficacité énergétique industrielle (dont récupération de chaleur),Efficacité industrielle,Produire / Réduire l'usage d'énergie fossile de l'industrie,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,8 % de gain d'efficacité entre 2023 et 2030,"SNBC 3
  
    en moyenne 8 % de gain en 2030 par rapport à 2023, et 18 % en 2050",3e stratégie nationale bas-carbone (provisoire),,,
"Développement de la chaleur renouvelable (solaire, géothermie)",Chaleur industrielle,Produire / Réduire l'usage d'énergie fossile de l'industrie,false,,,"SNBC 3
    La part de l’électricité dans le mix énergétique de l’industrie augmente
  ainsi de 36 % en 2023 à 47 % en 2030 et 57 % en 2050.",,,,
Electrification des sources d'énergie,Electrification indus.,Produire / Réduire l'usage d'énergie fossile de l'industrie,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,Augmentation de la part de l’électricité dans le mix énergétique de l’industrie de 36 % en 2023 à 47 % en 2030 et 57 % en 2050,"SNBC 3 :
    20 TWh supplémentaires de biomasse solide est mobilisé à l’horizon 2030
  dans le scénario de référence (par rapport à 2023)
    10 TWh de CSR mobilisés dans l’industrie en 2030",3e stratégie nationale bas-carbone (provisoire),,,
Utilisation de la biomasse et des combustibles solides de récupération comme source d'énergie industrielle,Biomasse industrie,Produire / Réduire l'usage d'énergie fossile de l'industrie,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,Doubler l'utilisation énergétique de biomasse dans l'industrie entre 2021 et 2030,,3e stratégie nationale bas-carbone (provisoire),,,
Captage de CO₂ à la sortie des procédés industriels émetteurs,Captage industrie,Produire / Décarboner les procédés industriels les plus émissifs,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,"Capter 4 à 8 Mt CO2e par an dans l’industrie à horizon 2030
Capter entre 20 et 30 Mt CO2e par an dans l’industrie à horizon 2050, dont environ 50 % d’origine biogénique",,3e stratégie nationale bas-carbone (provisoire),,,
Réduction des émissions du raffinage,Raffinage,Produire / Décarboner les procédés industriels les plus émissifs,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,Baisse de 27 % des émissions du raffinage entre 2019 et 2030 (dont une partie via levier H2),,3e stratégie nationale bas-carbone (provisoire),,,
Modification des procédés de fabrication,Procédés industriels,Produire / Décarboner les procédés industriels les plus émissifs,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,"Atteindre environ 5 TWh de consommation (énergétique et non énergétique) d’H2 électrolytique à horizon 2030 dans l’industrie, et environ 20 TWh à horizon 2050 (par rapport à un volume < 1 TWh en 2023)
Atteindre 6 Mt d'acier produit par réduction directe du minerai de fer (DRI) en 2050. 
Décarboner les autres procédés : réduire le taux de clinker du ciment, réduire les émissions des gaz fluorés et de protoxyde d'azote, etc.",,3e stratégie nationale bas-carbone (provisoire),,,
Abattement des gaz fluorés (tous secteurs),Gaz fluorés,Produire / Réduire les fuites de gaz à effet de serre et polluants,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,"Baisse des émissions de gaz fluorés de 9 Mt CO2e en 2023 à respectivement 4,8 Mt, 1,8 Mt et 1 Mt en 2030, 2040 et 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Contrôle des émissions industrielles de polluants atmosphériques,Polluants industrie,Produire / Réduire les fuites de gaz à effet de serre et polluants,false,seulement deux leviers généraux : décarbonation des grands sites (top50) et industrie diffuse,,'A préciser courant 2026 dans le cadre des travaux sur le plan PREPA (polluants atmosphériques),,,,
Sortie du plastique jetable,Plastique jetable,Consommer / Développer la consommation responsable,false,,"2030 : réduction de 50 % du nombre de bouteilles plastiques à usage unique par rapport à 2018
2040 : zéro emballage plastique à usage unique",,Loi anti-gaspillage pour une économie circulaire,,,
Développement de la mutualisation et de l'économie de la fonctionnalité,Modèles éco. circ.,Consommer / Développer la consommation responsable,false,,,,,,,
Développement de la consommation sans emballages primaires,Conso. vrac,Consommer / Développer la consommation responsable,false,,20 % des surfaces de vente de produits de grande consommation sans emballage primaire dans les commerces de détail de plus de 400 m²,,,,,
"Augmentation de la durée de vie des équipements (lutte contre l'obsolesence, développement de la réparation)",Réparation,Consommer / Développer la consommation responsable,false,,,,,,,
Développement du réemploi et de la réutilisation,Réemploi et réut.,Consommer / Développer la consommation responsable,true,"intégré sous le levier ""prévention des déchets""","Augmentation du réemploi et de la réutilisation des déchets pour atteindre une quantité équivalente à 5 % du tonnage des déchets ménagers 
en 2030",,Loi anti-gaspillage pour une économie circulaire,,,
Amélioration de la collecte et du tri des déchets,Collecte et tri,Consommer / Réduire l'impact environnemental des déchets produits,true,"sous un levier plus large ""taux de collecte et mise en décharge""",100 % de population couverte par une solution de tri à la source des biodéchets au 1er janvier 2024,,Loi anti-gaspillage pour une économie circulaire,,,
Développement de la valorisation matière des déchets,Valorisation matière,Consommer / Réduire l'impact environnemental des déchets produits,true,,Le tonnage de déchets recyclés passe de 39 Mt en 2020 à 42 Mt en 2030 puis 48 Mt en 2050,"Loi AGEC 
Ordonnance n° 2020-920 du 29 juillet 2020 relative à la prévention et à la gestion des déchets (art. 2), codifiée à l'article L. 541-1, 4° bis du Code de l'environnement
65 % de DMA valorisés matière en 2035

SNBC 3
Le tonnage de déchets recyclés passe de 39 Mt en 2020 à 42 Mt en 2030 puis 48 Mt en 2050

Règlement sur les emballages (PPWR) : '90% des bouteilles en plastiques et canettes collectées et recyclées à partir de 2029 
80% de collecte séparées canettes et bouteille en 2026""
",3e stratégie nationale bas-carbone (provisoire),,,
Captage du méthane dans les installations de stockage de déchets non dangereux (ISDND),Captage décharges,Consommer / Réduire l'impact environnemental des déchets produits,true,pi : laissé de coté dans le bilan des COP 25 pour raisons méthodo,83 % de taux de captage du biométhane dans les ISDND en 2030,"SNBC
  3
    le taux de captage du biométhane dans les installations de stockage des
  déchets non-dangereux (ISDND) en exploitation passe de 66 % en 2020 à 83 % en
  2030 (à noter que cela correspond à des taux de captage apparent  de 52 % et 63 % respectivement, lorsque
  l’on prend également en compte les émissions provenant des ISDND qui ne sont
  plus exploitées). ",3e stratégie nationale bas-carbone (provisoire),,,
Développement de la valorisation énergétique des déchets,Valorisation énergie,Consommer / Réduire l'impact environnemental des déchets produits,false,,"13 Mt de déchets méthanisés (hors agriculture) ou compostés en 2030, 16 Mt en 2050 (contre 10 Mt en 2020)","Le tonnage de déchets méthanisés (hors agriculture) [passe] de 1
  Mt en 2020 à 3 Mt en 2030 puis 5 Mt en 2050, compostés de 9 Mt en 2020 à 10
  Mt en 2030 puis 11 Mt en 2050. ",3e stratégie nationale bas-carbone (provisoire),,,
Développement des combustibles solides de récupération,CSR,Consommer / Réduire l'impact environnemental des déchets produits,false,,"4 Mt traités via la filière CSR en 2030, 5Mt en 2050","SNBC 3
    La production de combustibles solides de récupération atteint 4 Mt en 2030
  et 5 Mt en 2050",3e stratégie nationale bas-carbone (provisoire),,,
Maîtrise des risques de relargage de plastique,Relargage plastique,Consommer / Réduire l'impact environnemental des déchets produits,false,,"100 % d’anciennes décharges municipales littorales à risque de relargage en mer réhabilitées
100 % des communes littorales engagées dans la démarche plages sans plastiques (50 % dès 2025)",,Stratégie nationale biodiversité 2030,,,
Développement des légumineuses,Légumineuses,Se nourrir / Réduire la dépendance aux intrants des cultures,true,"sous le levier ""pratiques stockantes"" qui englobe toutes les pratiques stockantes hors haies et prairies","2,8 Mha de légumineuses en 2030 contre 1 Mha en 2020","SNBC
  3
    2 Mha de légumineuses en 2030 et 2,5 Mha en 2050 contre 1 Mha en 2020
    
    Loi d’orientation pour la souveraineté alimentaire et le renouvellement des
  générations en agriculture
    Atteindre 10 % de la SAU cultivée en légumineuses d'ici au 1er janvier 2030
  (soit environ 2,8 MHa)",,,,
